iteration,total,bc,data,f,error_l2
99,0.43767619132995605,0.24651382863521576,0.1971675604581833,0.0035298916045576334,0.9000460505485535
199,0.3405933976173401,0.1619541198015213,0.19373364746570587,0.004645202774554491,0.8122594952583313
299,0.1478121280670166,0.10865405201911926,0.053071875125169754,0.0041986871510744095,0.40387946367263794
399,0.08325241506099701,0.07648587226867676,0.015069935470819473,0.005648203194141388,0.30166056752204895
499,0.057777099311351776,0.056089892983436584,0.006279669236391783,0.006423560902476311,0.22281260788440704
599,0.04106224328279495,0.0415634922683239,0.002896274207159877,0.004924898501485586,0.18299180269241333
699,0.03414038196206093,0.035805296152830124,0.0017109917243942618,0.00451235193759203,0.16402310132980347
799,0.031206022948026657,0.032778140157461166,0.0012059221044182777,0.004447851795703173,0.15476448833942413
899,0.027289383113384247,0.030747491866350174,0.0009601502097211778,0.0034786653704941273,0.14407958090305328
999,0.07747991383075714,0.070025235414505,0.006916823331266642,0.01664596237242222,0.15620219707489014
1099,0.022946596145629883,0.02765786647796631,0.000632637704256922,0.0029785647056996822,0.13339683413505554
1199,0.05400796979665756,0.06206410005688667,0.004922192078083754,0.0067825415171682835,0.15834496915340424
1299,0.019093817099928856,0.025032661855220795,0.0004406085645314306,0.0026905504055321217,0.12527112662792206
1399,0.04702136293053627,0.045689672231674194,0.0031409473158419132,0.012606384232640266,0.14237312972545624
1499,0.016581987962126732,0.0225979071110487,0.0003252025635447353,0.0025803199969232082,0.11934418976306915
1599,0.01572415791451931,0.021690407767891884,0.0003158624458592385,0.002646293491125107,0.11710839718580246
1699,0.01441004779189825,0.020320311188697815,0.00024804731947369874,0.002603666391223669,0.11445126682519913
1799,0.013418244197964668,0.01948656514286995,0.0002299463376402855,0.00259825075045228,0.11177198588848114
1899,0.02113661915063858,0.025858918204903603,0.0004787163052242249,0.006646806374192238,0.11821001023054123
1999,0.016062624752521515,0.023090383037924767,0.00031587263219989836,0.004248832352459431,0.11076512187719345
2099,0.01643535867333412,0.020056184381246567,0.00038428191328421235,0.006181234028190374,0.11122080683708191
2199,0.009118452668190002,0.016103500500321388,0.00014497173833660781,0.002161911455914378,0.10319557785987854
2299,0.008568313904106617,0.015338296070694923,0.00013709084305446595,0.0020865804981440306,0.10152265429496765
2399,0.007882771082222462,0.014759877696633339,0.00013260371633805335,0.0019782339222729206,0.09941179305315018
2499,0.00718469824641943,0.014042622409760952,0.00011485841241665184,0.0019193437183275819,0.09777773171663284
2599,0.006612515076994896,0.013461578637361526,0.00010775514965644106,0.001841530087403953,0.09674210846424103
2699,0.006699242163449526,0.013401093892753124,0.00016214988136198372,0.00196647341363132,0.09846214950084686
2799,0.008551210165023804,0.016397615894675255,0.0003342599666211754,0.002833886304870248,0.10293406993150711
2899,0.010342088527977467,0.02268235944211483,0.0009266316192224622,0.0018681198125705123,0.12873460352420807
2999,0.011136160232126713,0.014928724616765976,0.0004846808151341975,0.006872871425002813,0.10134138911962509
3099,0.004247256089001894,0.010915118269622326,7.074321911204606e-05,0.0013359365984797478,0.08898227661848068
3199,0.004029388539493084,0.0106510603800416,7.806440407875925e-05,0.0013273847289383411,0.08852437138557434
3299,0.0034576531033962965,0.010086692869663239,6.0529197071446106e-05,0.0011558150872588158,0.08635473996400833
3399,0.008613107725977898,0.024705860763788223,0.0003633807064034045,0.0024928066413849592,0.09801582247018814
3499,0.0029434391763061285,0.009345315396785736,5.1835573685821146e-05,0.0010281712748110294,0.08435652405023575
3599,0.0030727495905011892,0.009470229037106037,7.853523857193068e-05,0.0012693607714027166,0.08275249600410461
3699,0.0024353160988539457,0.008855427615344524,4.4960084778722376e-05,0.0008750357665121555,0.08188885450363159
3799,0.0031076339073479176,0.009751481004059315,0.00013169253361411393,0.0012217189650982618,0.08100984990596771
3899,0.0020777559839189053,0.008313358761370182,4.0656497731106356e-05,0.0007683564908802509,0.07982844114303589
3999,0.0048427097499370575,0.015467572025954723,0.0002831349556799978,0.0019414399284869432,0.0965268462896347
4099,0.0018418872496113181,0.007741852197796106,3.580174598027952e-05,0.0007034842856228352,0.07793281227350235
4199,0.0034025919158011675,0.009651846252381802,0.00022195163182914257,0.0020152863580733538,0.08606937527656555
4299,0.0018971109529957175,0.007688798010349274,6.684166874038056e-05,0.0007170278113335371,0.07849980145692825
4399,0.0015523533802479506,0.007069785613566637,3.1337851396529004e-05,0.0006131906993687153,0.07603486627340317
4499,0.0017180644208565354,0.007001373451203108,2.9936718419776298e-05,0.0006785725709050894,0.07693364471197128
4599,0.0014066686853766441,0.006451621651649475,2.925911576312501e-05,0.0005833092145621777,0.0748332217335701
4699,0.0014219229342415929,0.006306992843747139,3.2461259252158925e-05,0.0006091156974434853,0.07452758401632309
4799,0.008587288670241833,0.03140022233128548,0.0011330166598781943,0.0009479895234107971,0.12373533099889755
4899,0.0017532197525724769,0.0067872595973312855,7.016046583885327e-05,0.0010857991874217987,0.07435069978237152
4999,0.0014484749408438802,0.007086799014359713,3.666134216473438e-05,0.0005251101683825254,0.0738850086927414
5099,0.00305959559045732,0.012136349454522133,0.00026237621204927564,0.0009867050684988499,0.07491559535264969
5199,0.001503195147961378,0.006527312099933624,3.973870479967445e-05,0.0006569108227267861,0.07408519089221954
5299,0.001601640833541751,0.0063355835154652596,0.00013440518523566425,0.0005445181159302592,0.0806349366903305
5399,0.001487785135395825,0.006491819862276316,2.8972317522857338e-05,0.0007779930019751191,0.0777241513133049
5499,0.0009773089550435543,0.004597479477524757,2.11054921237519e-05,0.0005120164714753628,0.07356488704681396
5599,0.0008712600683793426,0.004580716602504253,2.0124958609812893e-05,0.00045624549966305494,0.07236689329147339
5699,0.0012034177780151367,0.005612479522824287,3.420400389586575e-05,0.0006474494584836066,0.07205487787723541
5799,0.0029528276063501835,0.01179402694106102,0.00022066493693273515,0.001519510056823492,0.07871249318122864
5899,0.0012664864771068096,0.005324416793882847,2.7665726520353928e-05,0.0006896428531035781,0.07724577933549881
5999,0.0008512419881299138,0.0038621474523097277,2.176279122068081e-05,0.0004719021962955594,0.07305698841810226
6099,0.0008418158977292478,0.004195074085146189,2.862863584596198e-05,0.0004485510289669037,0.07205302268266678
6199,0.0013091247528791428,0.004799182992428541,8.32188525237143e-05,0.0007883903454057872,0.0737491175532341
6299,0.0015767544973641634,0.006691304966807365,0.00013035158917773515,0.0005257410230115056,0.07303410768508911
6399,0.0012635921593755484,0.005565911531448364,2.2543224986293353e-05,0.0007463107467629015,0.07644248008728027
6499,0.0007671496132388711,0.0033090405631810427,2.4966104319901206e-05,0.0005090159829705954,0.07323144376277924
6599,0.000625997839961201,0.003019958268851042,1.551126661070157e-05,0.0004166363214608282,0.071317657828331
6699,0.0012739977100864053,0.006844394840300083,9.108790982281789e-05,0.0005981167778372765,0.07390175759792328
6799,0.0005880959797650576,0.0028130817227065563,1.982105095521547e-05,0.0005201486637815833,0.07095146924257278
6899,0.0006201451760716736,0.0030004556756466627,2.269289325340651e-05,0.00041923130629584193,0.07112866640090942
6999,0.0016750929644331336,0.009376547299325466,8.12657453934662e-05,0.0007843030616641045,0.07694400101900101
7099,0.0005604324396699667,0.002894509118050337,1.5807076124474406e-05,0.000370908179320395,0.07030320167541504
7199,0.0005081392591819167,0.002601936459541321,1.908623380586505e-05,0.00035969115560874343,0.0699215829372406
7299,0.006145489402115345,0.026993416249752045,0.0006085809436626732,0.002352524548768997,0.08560536056756973
7399,0.0005358846974559128,0.002391807734966278,1.7890060917125084e-05,0.0003567917738109827,0.07089877128601074
7499,0.0004565925628412515,0.002229824662208557,1.6134559700731188e-05,0.00033232662826776505,0.06915038824081421
7599,0.0028827812056988478,0.011226500384509563,0.0002456215734127909,0.0020561523269861937,0.0756177008152008
7699,0.0009230852010659873,0.004402667284011841,3.4371496440144256e-05,0.0005157558480277658,0.06995567679405212
7799,0.0018193797441199422,0.009320152923464775,2.261254849145189e-05,0.0011032277252525091,0.08584120869636536
7899,0.0017314562574028969,0.008302172645926476,4.5536799007095397e-05,0.0009604952065274119,0.0799962729215622
7999,0.0006243019597604871,0.0028508903924375772,1.0995535376423504e-05,0.0004862318455707282,0.07145468890666962
8099,0.0008137328550219536,0.0035702865570783615,5.8120614994550124e-05,0.00043779294355772436,0.07311034947633743
8199,0.0021144074853509665,0.010029724799096584,0.00010591493628453463,0.0012200771598145366,0.07679647207260132
8299,0.0003819909179583192,0.0018070564838126302,9.284445695811883e-06,0.0003273586626164615,0.06952355802059174
8399,0.0014676072169095278,0.0044487398117780685,0.00019902408530469984,0.0010476680472493172,0.07725801318883896
8499,0.0004599974490702152,0.0019133302848786116,1.3166228200134356e-05,0.0004054358578287065,0.07559451460838318
8599,0.000570218195207417,0.002890577306970954,2.5158198695862666e-05,0.00033975852420553565,0.07199366390705109
8699,0.0004336444253567606,0.002250803168863058,1.185500696010422e-05,0.00030563585460186005,0.06913550198078156
8799,0.00046411872608587146,0.002001314191147685,2.345387838431634e-05,0.00030903518199920654,0.06573311984539032
8899,0.000571391370613128,0.002279610140249133,2.19912199099781e-05,0.00046140726772136986,0.07327552139759064
8999,0.000317165395244956,0.0013352694222703576,1.1127731340820901e-05,0.0002673585549928248,0.06752914935350418
9099,0.00035027528065256774,0.0015540083404630423,1.2502619028964546e-05,0.00030500529101118445,0.06716222316026688
9199,0.0013277644757181406,0.006230368744581938,5.063073695055209e-05,0.0007764407782815397,0.07488217204809189
9299,0.0004450582491699606,0.002020453568547964,1.0310433026461396e-05,0.000290162512101233,0.06523498892784119
9399,0.0007640573312528431,0.0025620018132030964,9.480038715992123e-05,0.0004326269554439932,0.0725494995713234
9499,0.00043333819485269487,0.0016521031502634287,2.0303408746258356e-05,0.0003140258486382663,0.06762766093015671
9599,0.007809156086295843,0.03936692327260971,0.0003336158115416765,0.0048218704760074615,0.10641758888959885
9699,0.004072422161698341,0.023309314623475075,0.0002746265381574631,0.0007739578140899539,0.08468451350927353
9799,0.0004835174768231809,0.002322393236681819,9.20415641303407e-06,0.0003954635467380285,0.07073772698640823
9899,0.0006341257831081748,0.002649962669238448,1.4972818462410942e-05,0.0004208395257592201,0.07257740944623947
9999,0.0011374375317245722,0.0053436169400811195,5.813144889543764e-05,0.000730883504729718,0.0738072395324707
10099,0.0002604839392006397,0.00122951774392277,5.46170849702321e-06,0.00024093990214169025,0.0662803053855896
10199,0.0002188884245697409,0.0010613753693178296,4.960631031281082e-06,0.00021383704734034836,0.06459543108940125
10299,0.0006250998703762889,0.0027942294254899025,3.822071084869094e-05,0.00041753670666366816,0.06617582589387894
10399,0.00023183287703432143,0.0009598946780897677,7.73713782109553e-06,0.00023601089196745306,0.06337756663560867
10499,0.00021114501578267664,0.0009168393444269896,5.802407940791454e-06,0.0002108784974552691,0.06213114410638809
10599,0.0029041175730526447,0.013833296485245228,0.00020704483904410154,0.0016312379157170653,0.09127593785524368
10699,0.001068339217454195,0.0029183472506701946,0.00022664127754978836,0.00028983771335333586,0.06696118414402008
10799,0.0009357031667605042,0.004491734318435192,3.2671749067958444e-05,0.0005005975253880024,0.06900264322757721
10899,0.0003432698140386492,0.0013965140096843243,1.4005274351802655e-05,0.0003304840356577188,0.06381053477525711
10999,0.0003399044508114457,0.0011920868419110775,2.4583341655670665e-05,0.0002781118673738092,0.06508439034223557
11099,0.0001839957112679258,0.0007284291787073016,4.048711161885876e-06,0.0001919482892844826,0.0608498752117157
11199,0.0009697333443909883,0.0034727822057902813,7.894176815170795e-05,0.0008654651464894414,0.06634557247161865
11299,0.017279626801609993,0.10121790319681168,0.0006436476251110435,0.003703248454257846,0.126267209649086
11399,0.0008285407675430179,0.0032459418289363384,2.9285218261065893e-05,0.0006116167060099542,0.07927275449037552
