x,y,p,u,v
 1.399999857E-01,-1.00E-02, 2.433465196E-03, 0.000000000E+00, 0.000000000E+00
 1.399999857E-01,-9.50E-03, 2.433808272E-03, 1.158029871E-03,-3.72E-07
 1.399999857E-01,-9.00E-03, 2.434727896E-03, 2.324819846E-03,-7.69E-07
 1.399999857E-01,-8.50E-03, 2.437100788E-03, 3.499956955E-03,-6.30E-07
 1.399999857E-01,-8.00E-03, 2.441490171E-03, 4.682091035E-03, 5.494714896E-07
 1.399999857E-01,-7.50E-03, 2.448344011E-03, 5.868436489E-03, 3.166061514E-06
 1.399999857E-01,-7.00E-03, 2.458561258E-03, 7.054412195E-03, 7.578114831E-06
 1.399999857E-01,-6.50E-03, 2.472651704E-03, 8.233468028E-03, 1.408412292E-05
 1.399999857E-01,-6.00E-03, 2.491288854E-03, 9.397010821E-03, 2.286137110E-05
 1.399999857E-01,-5.50E-03, 2.514902425E-03, 1.053442675E-02, 3.401674542E-05
 1.399999857E-01,-5.00E-03, 2.543893395E-03, 1.163318252E-02, 4.754732824E-05
 1.399999857E-01,-4.50E-03, 2.578792514E-03, 1.267904801E-02, 6.338437226E-05
 1.399999857E-01,-4.00E-03, 2.619986000E-03, 1.365640601E-02, 8.137833514E-05
 1.399999857E-01,-3.50E-03, 2.667602461E-03, 1.454865642E-02, 1.013009944E-04
 1.399999857E-01,-3.00E-03, 2.721494303E-03, 1.533880815E-02, 1.227728971E-04
 1.399999857E-01,-2.50E-03, 2.781570973E-03, 1.601035917E-02, 1.453516311E-04
 1.399999857E-01,-2.00E-03, 2.847055976E-03, 1.654813031E-02, 1.684356077E-04
 1.399999857E-01,-1.50E-03, 2.917463569E-03, 1.693919692E-02, 1.914289312E-04
 1.399999857E-01,-1.00E-03, 2.991814656E-03, 1.717370671E-02, 2.135830029E-04
 1.399999857E-01,-5.00E-04, 3.067162882E-03, 1.724470512E-02, 2.341485402E-04
 1.399999857E-01, 2.169358693E-09, 3.143456928E-03, 1.715416249E-02, 2.525688476E-04
 1.399999857E-01, 5.000000237E-04, 3.220329503E-03, 1.690194173E-02, 2.680274438E-04
 1.399999857E-01, 1.000000047E-03, 3.295250978E-03, 1.649071189E-02, 2.799443267E-04
 1.399999857E-01, 1.500000013E-03, 3.366628876E-03, 1.593470861E-02, 2.878804962E-04
 1.399999857E-01, 2.000000095E-03, 3.433741334E-03, 1.524884036E-02, 2.913355060E-04
 1.399999857E-01, 2.499999944E-03, 3.495874042E-03, 1.445095598E-02, 2.901801555E-04
 1.399999857E-01, 3.000000026E-03, 3.552276116E-03, 1.356097038E-02, 2.843167854E-04
 1.399999857E-01, 3.499999875E-03, 3.602619907E-03, 1.259989491E-02, 2.737944938E-04
 1.399999857E-01, 4.000000190E-03, 3.646647800E-03, 1.158884492E-02, 2.589078514E-04
 1.399999857E-01, 4.499999806E-03, 3.684520769E-03, 1.054803733E-02, 2.399930728E-04
 1.399999857E-01, 4.999999888E-03, 3.716535166E-03, 9.495737318E-03, 2.175829593E-04
 1.399999857E-01, 5.499999970E-03, 3.743220178E-03, 8.447421517E-03, 1.923365149E-04
 1.399999857E-01, 6.000000052E-03, 3.765192353E-03, 7.415070450E-03, 1.650650994E-04
 1.399999857E-01, 6.499999668E-03, 3.783210759E-03, 6.406764751E-03, 1.366858153E-04
 1.399999857E-01, 6.999999750E-03, 3.798156512E-03, 5.426598386E-03, 1.082464394E-04
 1.399999857E-01, 7.499999832E-03, 3.810881286E-03, 4.474965643E-03, 8.084759649E-05
 1.399999857E-01, 8.000000380E-03, 3.822494186E-03, 3.549187695E-03, 5.571721218E-05
 1.399999857E-01, 8.500000462E-03, 3.833644507E-03, 2.644443845E-03, 3.398612674E-05
 1.399999857E-01, 8.999999613E-03, 3.845619618E-03, 1.754885757E-03, 1.709056460E-05
 1.399999857E-01, 9.499999695E-03, 3.855373366E-03, 8.748255425E-04, 5.739648629E-06
 1.399999857E-01, 9.999999776E-03, 3.858574031E-03, 0.000000000E+00, 0.000000000E+00
