x,y,p,u,v
 1.999999583E-02,-1.00E-02,-8.51E-02, 0.000000000E+00, 0.000000000E+00
 1.999999583E-02,-9.50E-03,-8.51E-02,-6.54E-04, 1.162114428E-05
 1.999999583E-02,-9.00E-03,-8.51E-02,-1.23E-03, 3.397690733E-05
 1.999999583E-02,-8.50E-03,-8.51E-02,-1.71E-03, 6.598393157E-05
 1.999999583E-02,-8.00E-03,-8.51E-02,-2.10E-03, 1.052260783E-04
 1.999999583E-02,-7.50E-03,-8.51E-02,-2.38E-03, 1.476583053E-04
 1.999999583E-02,-7.00E-03,-8.51E-02,-2.56E-03, 1.901760592E-04
 1.999999583E-02,-6.50E-03,-8.51E-02,-2.61E-03, 2.287732846E-04
 1.999999583E-02,-6.00E-03,-8.52E-02,-2.53E-03, 2.609777108E-04
 1.999999583E-02,-5.50E-03,-8.52E-02,-2.33E-03, 2.835938329E-04
 1.999999583E-02,-5.00E-03,-8.52E-02,-1.98E-03, 2.933960091E-04
 1.999999583E-02,-4.50E-03,-8.53E-02,-1.50E-03, 2.885708734E-04
 1.999999583E-02,-4.00E-03,-8.53E-02,-8.66E-04, 2.665215252E-04
 1.999999583E-02,-3.50E-03,-8.54E-02,-7.26E-05, 2.263353501E-04
 1.999999583E-02,-3.00E-03,-8.54E-02, 8.975539561E-04, 1.669100416E-04
 1.999999583E-02,-2.50E-03,-8.54E-02, 2.066623787E-03, 8.740329005E-05
 1.999999583E-02,-2.00E-03,-8.54E-02, 3.462575435E-03,-1.17E-05
 1.999999583E-02,-1.50E-03,-8.54E-02, 5.115656401E-03,-1.29E-04
 1.999999583E-02,-1.00E-03,-8.53E-02, 7.051047644E-03,-2.60E-04
 1.999999583E-02,-5.00E-04,-8.52E-02, 9.276711143E-03,-4.01E-04
 1.999989897E-02,-1.34E-08,-8.52E-02, 1.176818735E-02,-5.43E-04
 1.999999583E-02, 5.000000237E-04,-8.51E-02, 1.445655395E-02,-6.78E-04
 1.999999583E-02, 1.000000047E-03,-8.49E-02, 1.722380486E-02,-7.98E-04
 1.999999583E-02, 1.500000013E-03,-8.48E-02, 1.991692604E-02,-8.95E-04
 1.999999583E-02, 2.000000095E-03,-8.46E-02, 2.237653039E-02,-9.66E-04
 1.999999583E-02, 2.499999944E-03,-8.44E-02, 2.446843370E-02,-1.01E-03
 1.999999583E-02, 3.000000026E-03,-8.42E-02, 2.610186640E-02,-1.03E-03
 1.999999583E-02, 3.499999875E-03,-8.39E-02, 2.721683480E-02,-1.03E-03
 1.999999583E-02, 4.000000190E-03,-8.37E-02, 2.778395381E-02,-1.00E-03
 1.999999583E-02, 4.499999806E-03,-8.34E-02, 2.784147090E-02,-9.61E-04
 1.999999583E-02, 4.999999888E-03,-8.32E-02, 2.739299255E-02,-9.00E-04
 1.999999583E-02, 5.499999970E-03,-8.30E-02, 2.640740606E-02,-8.21E-04
 1.999999583E-02, 6.000000052E-03,-8.28E-02, 2.489565077E-02,-7.27E-04
 1.999999583E-02, 6.499999668E-03,-8.27E-02, 2.287189851E-02,-6.19E-04
 1.999999583E-02, 6.999999750E-03,-8.26E-02, 2.036718184E-02,-5.03E-04
 1.999999583E-02, 7.499999832E-03,-8.26E-02, 1.743858984E-02,-3.83E-04
 1.999999583E-02, 8.000000380E-03,-8.26E-02, 1.417268356E-02,-2.67E-04
 1.999999583E-02, 8.500000462E-03,-8.26E-02, 1.068080691E-02,-1.64E-04
 1.999999583E-02, 8.999999613E-03,-8.26E-02, 7.084957986E-03,-8.25E-05
 1.999999583E-02, 9.499999695E-03,-8.27E-02, 3.497772175E-03,-2.76E-05
 1.999999583E-02, 9.999999776E-03,-8.27E-02, 0.000000000E+00, 0.000000000E+00
