x,y,p,u,v
 1.199999899E-01,-1.00E-02, 9.822913495E-04, 0.000000000E+00, 0.000000000E+00
 1.199999899E-01,-9.50E-03, 9.836628092E-04, 1.208208246E-03, 2.036163834E-06
 1.199999899E-01,-9.00E-03, 9.877266666E-04, 2.437412250E-03, 6.250100448E-06
 1.199999899E-01,-8.50E-03, 9.928335830E-04, 3.685271074E-03, 1.287058003E-05
 1.199999899E-01,-8.00E-03, 9.977446355E-04, 4.948189379E-03, 2.189690665E-05
 1.199999899E-01,-7.50E-03, 1.002515014E-03, 6.221469998E-03, 3.315525149E-05
 1.199999899E-01,-7.00E-03, 1.006896763E-03, 7.499252205E-03, 4.662611886E-05
 1.199999899E-01,-6.50E-03, 1.011138805E-03, 8.774199942E-03, 6.237547985E-05
 1.199999899E-01,-6.00E-03, 1.015074457E-03, 1.003690770E-02, 8.059475667E-05
 1.199999899E-01,-5.50E-03, 1.018395866E-03, 1.127533677E-02, 1.014963644E-04
 1.199999899E-01,-5.00E-03, 1.020251548E-03, 1.247433869E-02, 1.252394736E-04
 1.199999899E-01,-4.50E-03, 1.019214421E-03, 1.361552229E-02, 1.517524260E-04
 1.199999899E-01,-4.00E-03, 1.015924479E-03, 1.467765528E-02, 1.807377287E-04
 1.199999899E-01,-3.50E-03, 1.012089205E-03, 1.563792115E-02, 2.118907759E-04
 1.199999899E-01,-3.00E-03, 1.007212645E-03, 1.647328927E-02, 2.445461804E-04
 1.199999899E-01,-2.50E-03, 1.001732072E-03, 1.716156429E-02, 2.778639302E-04
 1.199999899E-01,-2.00E-03, 9.948364126E-04, 1.768319002E-02, 3.107521977E-04
 1.199999899E-01,-1.50E-03, 9.884039236E-04, 1.802251885E-02, 3.424390069E-04
 1.199999899E-01,-1.00E-03, 9.831527158E-04, 1.816828197E-02, 3.716362952E-04
 1.199999899E-01,-5.00E-04, 9.752011829E-04, 1.812179501E-02, 3.971523588E-04
 1.199999948E-01,-1.17E-07, 9.699831479E-04, 1.788082276E-02, 4.186914960E-04
 1.199999899E-01, 5.000000237E-04, 9.644839956E-04, 1.744535022E-02, 4.346377371E-04
 1.199999899E-01, 1.000000047E-03, 9.627963485E-04, 1.683197640E-02, 4.450533952E-04
 1.199999899E-01, 1.500000013E-03, 9.613895316E-04, 1.605852839E-02, 4.497651527E-04
 1.199999899E-01, 2.000000095E-03, 9.601923977E-04, 1.514681506E-02, 4.470634642E-04
 1.199999899E-01, 2.499999944E-03, 9.634180208E-04, 1.412180745E-02, 4.381066676E-04
 1.199999899E-01, 3.000000026E-03, 9.664541333E-04, 1.301037633E-02, 4.231131855E-04
 1.199999899E-01, 3.499999875E-03, 9.719463240E-04, 1.184048560E-02, 4.019926081E-04
 1.199999899E-01, 4.000000190E-03, 9.777288908E-04, 1.063956559E-02, 3.756290034E-04
 1.199999899E-01, 4.499999806E-03, 9.849033305E-04, 9.433574774E-03, 3.445147048E-04
 1.199999899E-01, 4.999999888E-03, 9.924763413E-04, 8.245965543E-03, 3.096308307E-04
 1.199999899E-01, 5.499999970E-03, 1.000680557E-03, 7.096983318E-03, 2.718361229E-04
 1.199999899E-01, 6.000000052E-03, 1.009218656E-03, 6.003144464E-03, 2.321990533E-04
 1.199999899E-01, 6.499999668E-03, 1.018156114E-03, 4.976952377E-03, 1.917993935E-04
 1.199999899E-01, 6.999999750E-03, 1.027619296E-03, 4.026864187E-03, 1.518563119E-04
 1.199999899E-01, 7.499999832E-03, 1.037802868E-03, 3.157525415E-03, 1.136368482E-04
 1.199999899E-01, 8.000000380E-03, 1.049295829E-03, 2.370263612E-03, 7.861623257E-05
 1.199999899E-01, 8.500000462E-03, 1.062266638E-03, 1.663849377E-03, 4.821747093E-05
 1.199999899E-01, 8.999999613E-03, 1.077813483E-03, 1.035454879E-03, 2.440778553E-05
 1.199999899E-01, 9.499999695E-03, 1.090947205E-03, 4.817397574E-04, 8.248813494E-06
 1.199999899E-01, 9.999999776E-03, 1.095275381E-03, 0.000000000E+00, 0.000000000E+00
