x,y,p,u,v
 1.599999964E-01,-1.00E-02, 2.036420556E-03, 0.000000000E+00, 0.000000000E+00
 1.599999964E-01,-9.50E-03, 2.035964150E-03, 1.213683573E-03,-1.42E-06
 1.599999964E-01,-9.00E-03, 2.034490390E-03, 2.409298764E-03,-4.01E-06
 1.599999964E-01,-8.50E-03, 2.033241837E-03, 3.587881228E-03,-7.44E-06
 1.599999964E-01,-8.00E-03, 2.033330312E-03, 4.750320157E-03,-1.13E-05
 1.599999964E-01,-7.50E-03, 2.034707565E-03, 5.896708004E-03,-1.49E-05
 1.599999964E-01,-7.00E-03, 2.037627029E-03, 7.025787355E-03,-1.79E-05
 1.599999964E-01,-6.50E-03, 2.042052444E-03, 8.134569056E-03,-1.97E-05
 1.599999964E-01,-6.00E-03, 2.048799468E-03, 9.218068082E-03,-2.01E-05
 1.599999964E-01,-5.50E-03, 2.057425731E-03, 1.026927193E-02,-1.86E-05
 1.599999964E-01,-5.00E-03, 2.068169530E-03, 1.127922399E-02,-1.52E-05
 1.599999964E-01,-4.50E-03, 2.081775461E-03, 1.223726853E-02,-9.85E-06
 1.599999964E-01,-4.00E-03, 2.097956895E-03, 1.313144201E-02,-2.41E-06
 1.599999964E-01,-3.50E-03, 2.117013517E-03, 1.394891765E-02, 6.956802035E-06
 1.599999964E-01,-3.00E-03, 2.138882716E-03, 1.467657765E-02, 1.810569507E-05
 1.599999964E-01,-2.50E-03, 2.163489260E-03, 1.530161214E-02, 3.074882710E-05
 1.599999964E-01,-2.00E-03, 2.190734287E-03, 1.581216865E-02, 4.457081406E-05
 1.599999964E-01,-1.50E-03, 2.220152684E-03, 1.619800053E-02, 5.912311866E-05
 1.599999964E-01,-1.00E-03, 2.251702987E-03, 1.645108323E-02, 7.398712504E-05
 1.599999964E-01,-5.00E-04, 2.285002493E-03, 1.656614115E-02, 8.860198251E-05
 1.599999964E-01, 1.417962906E-15, 2.318914225E-03, 1.654189235E-02, 1.024594526E-04
 1.599999964E-01, 5.000000237E-04, 2.353264005E-03, 1.637863018E-02, 1.150911021E-04
 1.599999964E-01, 1.000000047E-03, 2.387176534E-03, 1.607951739E-02, 1.259563567E-04
 1.599999964E-01, 1.500000013E-03, 2.419113142E-03, 1.565290715E-02, 1.346877716E-04
 1.599999964E-01, 2.000000095E-03, 2.448102755E-03, 1.510948866E-02, 1.408614407E-04
 1.599999964E-01, 2.499999944E-03, 2.476457242E-03, 1.446242555E-02, 1.441447714E-04
 1.599999964E-01, 3.000000026E-03, 2.504247742E-03, 1.372650771E-02, 1.444368713E-04
 1.599999964E-01, 3.499999875E-03, 2.530106815E-03, 1.291691032E-02, 1.416279866E-04
 1.599999964E-01, 4.000000190E-03, 2.554084901E-03, 1.204891171E-02, 1.357741757E-04
 1.599999964E-01, 4.499999806E-03, 2.574352772E-03, 1.113717901E-02, 1.271783272E-04
 1.599999964E-01, 4.999999888E-03, 2.591216654E-03, 1.019444237E-02, 1.161624261E-04
 1.599999964E-01, 5.499999970E-03, 2.604928909E-03, 9.230747247E-03, 1.031911815E-04
 1.599999964E-01, 6.000000052E-03, 2.616589910E-03, 8.253686953E-03, 8.869329104E-05
 1.599999964E-01, 6.499999668E-03, 2.627323623E-03, 7.267481996E-03, 7.329654332E-05
 1.599999964E-01, 6.999999750E-03, 2.636147212E-03, 6.273563953E-03, 5.780685026E-05
 1.599999964E-01, 7.499999832E-03, 2.643285217E-03, 5.271035723E-03, 4.292283736E-05
 1.599999964E-01, 8.000000380E-03, 2.649733582E-03, 4.256889765E-03, 2.937119980E-05
 1.599999964E-01, 8.500000462E-03, 2.655917042E-03, 3.226950669E-03, 1.777669670E-05
 1.599999964E-01, 8.999999613E-03, 2.662434199E-03, 2.176700074E-03, 8.858199693E-06
 1.599999964E-01, 9.499999695E-03, 2.667685756E-03, 1.102034264E-03, 2.948785388E-06
 1.599999964E-01, 9.999999776E-03, 2.669417726E-03, 0.000000000E+00, 0.000000000E+00
