x,y,p,u,v
 7.999999821E-02,-1.00E-02,-6.91E-03, 0.000000000E+00, 0.000000000E+00
 7.999999821E-02,-9.50E-03,-6.93E-03, 9.339345451E-05,-3.53E-05
 7.999999821E-02,-9.00E-03,-6.98E-03, 4.496084061E-04,-1.03E-04
 7.999999821E-02,-8.50E-03,-7.04E-03, 1.061962182E-03,-2.00E-04
 7.999999821E-02,-8.00E-03,-7.11E-03, 1.920078445E-03,-3.17E-04
 7.999999821E-02,-7.50E-03,-7.20E-03, 3.005888629E-03,-4.47E-04
 7.999999821E-02,-7.00E-03,-7.30E-03, 4.290855140E-03,-5.85E-04
 7.999999821E-02,-6.50E-03,-7.43E-03, 5.737966775E-03,-7.27E-04
 7.999983430E-02,-6.00E-03,-7.61E-03, 7.319534070E-03,-8.68E-04
 7.999981940E-02,-5.49E-03,-7.83E-03, 8.986838345E-03,-1.01E-03
 7.999999985E-02,-4.99E-03,-8.12E-03, 1.065162428E-02,-1.14E-03
 7.999999822E-02,-4.49E-03,-8.49E-03, 1.231834511E-02,-1.26E-03
 7.999999821E-02,-3.99E-03,-8.93E-03, 1.393515913E-02,-1.38E-03
 7.999999822E-02,-3.49E-03,-9.45E-03, 1.546227153E-02,-1.48E-03
 7.999999822E-02,-3.00E-03,-1.01E-02, 1.687135436E-02,-1.56E-03
 7.999999821E-02,-2.50E-03,-1.07E-02, 1.812130717E-02,-1.63E-03
 7.999999820E-02,-2.00E-03,-1.15E-02, 1.917943485E-02,-1.67E-03
 7.999999823E-02,-1.50E-03,-1.23E-02, 2.001106163E-02,-1.70E-03
 7.999999823E-02,-1.00E-03,-1.32E-02, 2.056766404E-02,-1.70E-03
 7.999999821E-02,-5.01E-04,-1.40E-02, 2.083035855E-02,-1.67E-03
 7.999999821E-02,-8.50E-07,-1.49E-02, 2.082723386E-02,-1.62E-03
 7.999999821E-02, 5.000000237E-04,-1.58E-02, 2.054798018E-02,-1.55E-03
 7.999999821E-02, 1.000000047E-03,-1.66E-02, 1.997353068E-02,-1.46E-03
 7.999999821E-02, 1.500000013E-03,-1.73E-02, 1.912407203E-02,-1.36E-03
 7.999999821E-02, 2.000000095E-03,-1.80E-02, 1.802582095E-02,-1.24E-03
 7.999999821E-02, 2.499999944E-03,-1.86E-02, 1.671424439E-02,-1.10E-03
 7.999999821E-02, 3.000000026E-03,-1.91E-02, 1.523328192E-02,-9.68E-04
 7.999999821E-02, 3.499999875E-03,-1.96E-02, 1.363230031E-02,-8.31E-04
 7.999999821E-02, 4.000000190E-03,-1.99E-02, 1.196357856E-02,-6.97E-04
 7.999999821E-02, 4.499999806E-03,-2.02E-02, 1.027907864E-02,-5.71E-04
 7.999999821E-02, 4.999999888E-03,-2.04E-02, 8.627591893E-03,-4.55E-04
 7.999999821E-02, 5.499999970E-03,-2.05E-02, 7.052271763E-03,-3.52E-04
 7.999999821E-02, 6.000000052E-03,-2.06E-02, 5.589088126E-03,-2.63E-04
 7.999999821E-02, 6.499999668E-03,-2.07E-02, 4.266170992E-03,-1.88E-04
 7.999999821E-02, 6.999999750E-03,-2.07E-02, 3.104085438E-03,-1.28E-04
 7.999999821E-02, 7.499999832E-03,-2.08E-02, 2.116783154E-03,-8.22E-05
 7.999999821E-02, 8.000000380E-03,-2.08E-02, 1.312952548E-03,-4.81E-05
 7.999999821E-02, 8.500000462E-03,-2.08E-02, 6.974874019E-04,-2.48E-05
 7.999999821E-02, 8.999999613E-03,-2.08E-02, 2.728616017E-04,-1.03E-05
 7.999999821E-02, 9.499999695E-03,-2.08E-02, 4.020389003E-05,-2.84E-06
 7.999999821E-02, 9.999999776E-03,-2.09E-02, 0.000000000E+00, 0.000000000E+00
