x,y,p,u,v
 9.999999404E-02,-1.00E-02, 1.296725969E-05, 0.000000000E+00, 0.000000000E+00
 9.999999404E-02,-9.50E-03, 9.008840406E-06, 1.220108144E-03,-5.42E-06
 9.999999404E-02,-9.00E-03,-3.76E-06, 2.446937522E-03,-1.65E-05
 9.999999404E-02,-8.50E-03,-2.35E-05, 3.687554763E-03,-3.36E-05
 9.999999404E-02,-8.00E-03,-5.13E-05, 4.951201834E-03,-5.57E-05
 9.999999404E-02,-7.50E-03,-9.30E-05, 6.246448375E-03,-8.06E-05
 9.999999404E-02,-7.00E-03,-1.55E-04, 7.577943543E-03,-1.06E-04
 9.999999404E-02,-6.50E-03,-2.44E-04, 8.943515329E-03,-1.30E-04
 9.999999404E-02,-6.00E-03,-3.66E-04, 1.033187873E-02,-1.51E-04
 9.999999404E-02,-5.50E-03,-5.24E-04, 1.172352414E-02,-1.67E-04
 9.999999404E-02,-5.00E-03,-7.19E-04, 1.309156346E-02,-1.78E-04
 9.999999404E-02,-4.50E-03,-9.62E-04, 1.440264852E-02,-1.81E-04
 1.000000043E-01,-4.00E-03,-1.26E-03, 1.562386821E-02,-1.78E-04
 9.999999860E-02,-3.50E-03,-1.61E-03, 1.672139431E-02,-1.68E-04
 9.999999404E-02,-3.00E-03,-2.00E-03, 1.765880448E-02,-1.53E-04
 9.999999404E-02,-2.50E-03,-2.43E-03, 1.841377369E-02,-1.32E-04
 9.999999404E-02,-2.00E-03,-2.89E-03, 1.895909354E-02,-1.07E-04
 9.999999404E-02,-1.50E-03,-3.37E-03, 1.927498818E-02,-7.78E-05
 9.999999404E-02,-1.00E-03,-3.87E-03, 1.935647336E-02,-4.67E-05
 9.999999404E-02,-5.00E-04,-4.36E-03, 1.920305866E-02,-1.41E-05
 1.000000003E-01,-4.70E-07,-4.84E-03, 1.881419066E-02, 1.905331451E-05
 9.999999404E-02, 5.000000237E-04,-5.30E-03, 1.819875746E-02, 5.139962848E-05
 9.999999404E-02, 1.000000047E-03,-5.72E-03, 1.737576137E-02, 8.166731651E-05
 9.999999404E-02, 1.500000013E-03,-6.10E-03, 1.636942268E-02, 1.086862219E-04
 9.999999404E-02, 2.000000095E-03,-6.44E-03, 1.521026088E-02, 1.314500100E-04
 9.999999404E-02, 2.499999944E-03,-6.72E-03, 1.393309774E-02, 1.491530096E-04
 9.999999404E-02, 3.000000026E-03,-6.96E-03, 1.257510055E-02, 1.612812688E-04
 9.999999404E-02, 3.499999875E-03,-7.16E-03, 1.117376762E-02, 1.675701928E-04
 9.999999404E-02, 4.000000190E-03,-7.31E-03, 9.764896430E-03, 1.680821720E-04
 9.999999404E-02, 4.499999806E-03,-7.42E-03, 8.381308551E-03, 1.632593629E-04
 9.999999404E-02, 4.999999888E-03,-7.51E-03, 7.051707041E-03, 1.536303277E-04
 9.999999404E-02, 5.499999970E-03,-7.56E-03, 5.799988984E-03, 1.399115063E-04
 9.999999404E-02, 6.000000052E-03,-7.60E-03, 4.645352908E-03, 1.230689713E-04
 9.999999404E-02, 6.499999668E-03,-7.63E-03, 3.602472506E-03, 1.040677099E-04
 9.999999404E-02, 6.999999750E-03,-7.64E-03, 2.682057465E-03, 8.395767630E-05
 9.999999404E-02, 7.499999832E-03,-7.64E-03, 1.891506623E-03, 6.377948428E-05
 9.999999404E-02, 8.000000380E-03,-7.64E-03, 1.235606894E-03, 4.469689587E-05
 9.999999404E-02, 8.500000462E-03,-7.64E-03, 7.172333667E-04, 2.766389423E-05
 9.999999404E-02, 8.999999613E-03,-7.63E-03, 3.379939835E-04, 1.423164498E-05
 9.999999404E-02, 9.499999695E-03,-7.62E-03, 9.874416093E-05, 4.867094516E-06
 9.999999404E-02, 9.999999776E-03,-7.62E-03, 0.000000000E+00, 0.000000000E+00
