x,y,p,tv,u,v,dx-velocity-dy
 2.449999750E-02,-1.00E-02,-8.34E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-1.64E+00
 2.499999106E-02,-1.00E-02,-8.32E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-1.67E+00
 2.549999207E-02,-1.00E-02,-8.29E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-1.70E+00
 2.599999309E-02,-1.00E-02,-8.27E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-1.73E+00
 2.649999410E-02,-1.00E-02,-8.25E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-1.76E+00
 2.700000256E-02,-1.00E-02,-8.22E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-1.79E+00
 2.749998868E-02,-1.00E-02,-8.19E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-1.82E+00
 2.799999714E-02,-1.00E-02,-8.17E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-1.85E+00
 2.849999815E-02,-1.00E-02,-8.14E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-1.88E+00
 2.899999917E-02,-1.00E-02,-8.11E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-1.90E+00
 2.950000018E-02,-1.00E-02,-8.08E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-1.93E+00
 2.999999374E-02,-1.00E-02,-8.05E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-1.96E+00
 3.049999475E-02,-1.00E-02,-8.02E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-1.99E+00
 3.099999577E-02,-1.00E-02,-7.99E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.02E+00
 3.149999678E-02,-1.00E-02,-7.96E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.05E+00
 3.199999779E-02,-1.00E-02,-7.92E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.08E+00
 3.249999136E-02,-1.00E-02,-7.89E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.10E+00
 3.299999237E-02,-1.00E-02,-7.85E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.13E+00
 3.349999338E-02,-1.00E-02,-7.82E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.16E+00
 3.399999440E-02,-1.00E-02,-7.78E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.19E+00
 3.450000286E-02,-1.00E-02,-7.74E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.21E+00
 3.499998897E-02,-1.00E-02,-7.70E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.24E+00
 3.549999744E-02,-1.00E-02,-7.67E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.27E+00
 3.599999845E-02,-1.00E-02,-7.63E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.29E+00
 3.649999201E-02,-1.00E-02,-7.58E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.32E+00
 3.700000048E-02,-1.00E-02,-7.54E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.35E+00
 3.749999404E-02,-1.00E-02,-7.50E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.37E+00
 3.799998760E-02,-1.00E-02,-7.46E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.40E+00
 3.849999607E-02,-1.00E-02,-7.41E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.43E+00
 3.900000453E-02,-1.00E-02,-7.36E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.45E+00
 3.949999809E-02,-1.00E-02,-7.32E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.48E+00
 3.999999166E-02,-1.00E-02,-7.27E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.51E+00
 4.050000012E-02,-1.00E-02,-7.22E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.53E+00
 4.099999368E-02,-1.00E-02,-7.17E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.56E+00
 4.150000215E-02,-1.00E-02,-7.12E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.58E+00
 4.199999571E-02,-1.00E-02,-7.07E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.61E+00
 4.249998927E-02,-1.00E-02,-7.01E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.63E+00
 4.299999774E-02,-1.00E-02,-6.96E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.66E+00
 4.349999130E-02,-1.00E-02,-6.90E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.68E+00
 4.399999976E-02,-1.00E-02,-6.85E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.71E+00
 4.449999332E-02,-1.00E-02,-6.79E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.73E+00
 4.499998689E-02,-1.00E-02,-6.73E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.75E+00
 4.549999535E-02,-1.00E-02,-6.67E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.78E+00
 4.599998891E-02,-1.00E-02,-6.61E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.80E+00
 4.649999738E-02,-1.00E-02,-6.54E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.82E+00
 4.700000584E-02,-1.00E-02,-6.48E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.84E+00
