x,y,p,tv,av,rv,sv
 1.150500000E-01, 5.299999833E-02, 4.162343569E-03, 1.214137588E-02, 6.807327702E-05,-5.57E-05, 1.214068050E-02
 1.152000000E-01, 5.299999833E-02, 4.163908284E-03, 1.173679376E-02, 7.591726060E-05,-1.31E-04, 1.173543148E-02
 1.153500000E-01, 5.299999833E-02, 4.175823314E-03, 1.133526423E-02, 8.395614191E-05,-2.02E-04, 1.133277002E-02
 1.155000000E-01, 5.299999833E-02, 4.196831444E-03, 1.093739165E-02, 9.207364564E-05,-2.67E-04, 1.093334763E-02
 1.156500000E-01, 5.299999833E-02, 4.225585231E-03, 1.054365083E-02, 1.001489640E-04,-3.28E-04, 1.053768785E-02
 1.158000000E-01, 5.299999833E-02, 4.260727690E-03, 1.015442670E-02, 1.080596496E-04,-3.83E-04, 1.014622399E-02
 1.159500000E-01, 5.299999833E-02, 4.300913930E-03, 9.769965845E-03, 1.156851999E-04,-4.34E-04, 9.759248633E-03
 1.161000000E-01, 5.299999833E-02, 4.344835192E-03, 9.390413699E-03, 1.229062115E-04,-4.80E-04, 9.376949446E-03
 1.162500000E-01, 5.299999833E-02, 4.391299820E-03, 9.015849477E-03, 1.296073377E-04,-5.22E-04, 8.999443084E-03
 1.164000000E-01, 5.299999833E-02, 4.439207164E-03, 8.646236610E-03, 1.356813350E-04,-5.59E-04, 8.626724577E-03
 1.165500000E-01, 5.299999833E-02, 4.487512040E-03, 8.281455784E-03, 1.410267737E-04,-5.92E-04, 8.258700284E-03
 1.167000000E-01, 5.299999833E-02, 4.535278572E-03, 7.921336501E-03, 1.455469900E-04,-6.22E-04, 7.895219492E-03
 1.168500000E-01, 5.299999833E-02, 4.581706831E-03, 7.565607110E-03, 1.491522740E-04,-6.48E-04, 7.536024322E-03
 1.170000000E-01, 5.299999833E-02, 4.626107108E-03, 7.213927099E-03, 1.517574650E-04,-6.70E-04, 7.180783090E-03
 1.171500000E-01, 5.299999833E-02, 4.667955005E-03, 6.865915328E-03, 1.532825741E-04,-6.90E-04, 6.829120537E-03
 1.173000000E-01, 5.299999833E-02, 4.706817491E-03, 6.521101191E-03, 1.536572745E-04,-7.07E-04, 6.480569867E-03
 1.174500000E-01, 5.299999833E-02, 4.742306095E-03, 6.178962224E-03, 1.528155811E-04,-7.21E-04, 6.134612454E-03
 1.176000000E-01, 5.299999833E-02, 4.774306050E-03, 5.838915530E-03, 1.506954942E-04,-7.32E-04, 5.790673142E-03
 1.177500000E-01, 5.299999833E-02, 4.802868634E-03, 5.500308733E-03, 1.472364878E-04,-7.40E-04, 5.448115793E-03
 1.179000000E-01, 5.299999833E-02, 4.827573047E-03, 5.162455837E-03, 1.424150713E-04,-7.44E-04, 5.106281216E-03
 1.180500000E-01, 5.299999833E-02, 4.847899252E-03, 4.824585935E-03, 1.362261237E-04,-7.46E-04, 4.764439379E-03
 1.182000000E-01, 5.299999833E-02, 4.864919029E-03, 4.485866783E-03, 1.286335593E-04,-7.43E-04, 4.421820488E-03
 1.183500000E-01, 5.299999833E-02, 4.878972565E-03, 4.145418841E-03, 1.196465009E-04,-7.36E-04, 4.077646352E-03
 1.185000000E-01, 5.299999833E-02, 4.889725755E-03, 3.802271523E-03, 1.093382256E-04,-7.23E-04, 3.731090028E-03
 1.186500000E-01, 5.299999833E-02, 4.898158353E-03, 3.455399117E-03, 9.782487462E-05,-7.04E-04, 3.381316602E-03
 1.188000000E-01, 5.299999833E-02, 4.905064829E-03, 3.103749266E-03, 8.528734519E-05,-6.78E-04, 3.027530310E-03
 1.189500000E-01, 5.299999833E-02, 4.911162333E-03, 2.746211666E-03, 7.198045970E-05,-6.42E-04, 2.668955726E-03
 1.191000000E-01, 5.299999833E-02, 4.917375934E-03, 2.381672615E-03, 5.825328082E-05,-5.96E-04, 2.304910608E-03
 1.192500000E-01, 5.299999833E-02, 4.924827771E-03, 2.009086611E-03, 4.456602798E-05,-5.39E-04, 1.934895756E-03
 1.194000000E-01, 5.299999833E-02, 4.934575119E-03, 1.627482297E-03, 3.149392419E-05,-4.67E-04, 1.558622913E-03
 1.195500000E-01, 5.299999833E-02, 4.948161894E-03, 1.236069955E-03, 1.975233705E-05,-3.79E-04, 1.176145501E-03
 1.197000000E-01, 5.299999833E-02, 4.965301969E-03, 8.343546967E-04, 1.009741582E-05,-2.74E-04, 7.880100061E-04
 1.198500000E-01, 5.299999833E-02, 4.982393916E-03, 4.222025347E-04, 3.524890595E-06,-1.48E-04, 3.953366752E-04
 1.200000000E-01, 5.299999957E-02, 4.985073063E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
