x,y,p,tv,av,rv,sv
 8.660784364E-02, 5.200000480E-02, 2.970728674E-04, 1.841155998E-02,-7.07E-04, 6.906880881E-04, 1.838481799E-02
 8.892156929E-02, 5.199999735E-02, 1.982473070E-03, 1.325805206E-02,-7.84E-04,-3.88E-04, 1.322902739E-02
 9.123529494E-02, 5.200000107E-02, 3.734284779E-03, 1.074769907E-02,-1.64E-04,-6.52E-04, 1.072646305E-02
 9.354902059E-02, 5.199999735E-02, 3.090414219E-03, 1.159915421E-02, 5.052005872E-04,-5.96E-04, 1.157269627E-02
 9.586273879E-02, 5.199999735E-02, 8.042582194E-04, 1.574747823E-02, 9.046289488E-04, 7.683237345E-05, 1.572114602E-02
 9.817647189E-02, 5.200000107E-02, 3.169069823E-04, 2.019503526E-02, 1.765074849E-04, 1.125086914E-03, 2.016272955E-02
 1.004901975E-01, 5.200000107E-02, 4.195680958E-04, 1.727489382E-02,-8.39E-04, 4.150988825E-04, 1.724938862E-02
 1.028039157E-01, 5.200000107E-02, 2.502042567E-03, 1.246088091E-02,-6.76E-04,-5.00E-04, 1.243238151E-02
 1.051176563E-01, 5.200000480E-02, 3.817310091E-03, 1.066469029E-02,-2.91E-05,-6.48E-04, 1.064478327E-02
 1.074313745E-01, 5.200000107E-02, 2.695377450E-03, 1.213511545E-02, 6.299845991E-04,-5.43E-04, 1.210646611E-02
 1.097451001E-01, 5.200000107E-02, 4.688705667E-04, 1.676904596E-02, 8.857317735E-04, 3.039839503E-04, 1.674269512E-02
 1.120588407E-01, 5.200000480E-02, 2.545225434E-04, 2.031755075E-02,-7.43E-05, 1.192849479E-03, 2.028222568E-02
 1.143725514E-01, 5.200000107E-02, 3.942999465E-04, 1.608366892E-02,-9.97E-04, 3.040878219E-04, 1.604964398E-02
 1.166862845E-01, 5.200000480E-02, 2.716663526E-03, 1.053924672E-02,-7.27E-04,-4.69E-04, 1.050346810E-02
 1.190000102E-01, 5.200000480E-02, 3.918909933E-03, 4.350273870E-03,-8.52E-05,-5.97E-04, 4.307920579E-03
 1.000000164E-03, 5.299999937E-02, 4.895441700E-03, 2.660408150E-03,-6.56E-05,-6.63E-04, 2.575387247E-03
 3.313725349E-03, 5.299999937E-02, 4.417459946E-03, 8.217703551E-03,-1.41E-04,-6.19E-04, 8.192766458E-03
 5.627450999E-03, 5.299999937E-02, 4.385247361E-03, 1.452117413E-02,-3.83E-05, 5.155558465E-04, 1.451161318E-02
 7.941176184E-03, 5.299999937E-02, 5.757339299E-03, 1.806311309E-02,-8.02E-06, 1.480749808E-03, 1.800230704E-02
 1.025490183E-02, 5.299999937E-02, 4.561749287E-03, 1.331978571E-02, 3.580451812E-05, 1.137504223E-04, 1.331885718E-02
 1.256862655E-02, 5.299999937E-02, 5.162355490E-03, 7.899159566E-03, 6.496332207E-05,-8.01E-04, 7.857942022E-03
