x,y,p,tv,av,rv,sv,dswirl-velocity-dy
 4.874999891E-02, 5.000000000E-02,-1.38E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-5.98E+00
 4.889999891E-02, 5.000000000E-02,-1.34E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-6.18E+00
 4.904999890E-02, 5.000000000E-02,-1.30E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-6.38E+00
 4.919999890E-02, 5.000000000E-02,-1.26E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-6.57E+00
 4.934999890E-02, 5.000000000E-02,-1.22E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-6.75E+00
 4.949999889E-02, 5.000000000E-02,-1.19E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-6.92E+00
 4.964999889E-02, 5.000000000E-02,-1.15E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-7.09E+00
 4.979999889E-02, 5.000000000E-02,-1.11E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-7.24E+00
 4.994999888E-02, 5.000000000E-02,-1.08E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-7.39E+00
 5.009999888E-02, 5.000000000E-02,-1.05E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-7.52E+00
 5.024999888E-02, 5.000000000E-02,-1.02E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-7.65E+00
 5.039999887E-02, 5.000000000E-02,-9.90E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-7.76E+00
 5.054999887E-02, 5.000000000E-02,-9.63E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-7.87E+00
 5.069999887E-02, 5.000000000E-02,-9.39E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-7.97E+00
 5.084999886E-02, 5.000000000E-02,-9.16E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-8.05E+00
 5.099999886E-02, 5.000000000E-02,-8.95E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-8.13E+00
 5.114999886E-02, 5.000000000E-02,-8.77E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-8.20E+00
 5.129999885E-02, 5.000000000E-02,-8.60E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-8.26E+00
 5.144999885E-02, 5.000000000E-02,-8.46E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-8.32E+00
 5.159999885E-02, 5.000000000E-02,-8.34E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-8.36E+00
 5.174999884E-02, 5.000000000E-02,-8.24E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-8.40E+00
 5.189999884E-02, 5.000000000E-02,-8.17E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-8.42E+00
 5.204999884E-02, 5.000000000E-02,-8.12E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-8.44E+00
 5.219999883E-02, 5.000000000E-02,-8.09E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-8.45E+00
 5.234999883E-02, 5.000000000E-02,-8.08E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-8.46E+00
 5.249999883E-02, 5.000000000E-02,-8.09E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-8.45E+00
 5.264999882E-02, 5.000000000E-02,-8.13E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-8.44E+00
 5.279999882E-02, 5.000000000E-02,-8.19E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-8.42E+00
