x,y,p,tv,av,rv,sv
 5.999999866E-02, 5.000000000E-02,-1.77E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02
 6.000000000E-02, 5.013126410E-02,-1.61E-02, 2.453839911E-02,-1.87E-04, 1.225370726E-05, 2.453752302E-02
 6.000000000E-02, 5.026204070E-02,-1.45E-02, 2.408250597E-02,-3.46E-04, 3.596205175E-05, 2.407986810E-02
 6.000000000E-02, 5.039233160E-02,-1.30E-02, 2.363326362E-02,-4.78E-04, 7.219532249E-05, 2.362820669E-02
 6.000000000E-02, 5.052213861E-02,-1.15E-02, 2.319188075E-02,-5.86E-04, 1.184064390E-04, 2.318406712E-02
 6.000000000E-02, 5.065146353E-02,-1.01E-02, 2.275959738E-02,-6.72E-04, 1.726928514E-04, 2.274892033E-02
 6.000000000E-02, 5.078030814E-02,-8.81E-03, 2.233763092E-02,-7.38E-04, 2.330549853E-04, 2.232414692E-02
 6.000000000E-02, 5.090867423E-02,-7.59E-03, 2.192711859E-02,-7.84E-04, 2.976962775E-04, 2.191099471E-02
 6.000000000E-02, 5.103656358E-02,-6.44E-03, 2.152906513E-02,-8.13E-04, 3.649929575E-04, 2.151053734E-02
 6.000000000E-02, 5.116397796E-02,-5.37E-03, 2.114429370E-02,-8.25E-04, 4.335034211E-04, 2.112363418E-02
 6.000000000E-02, 5.129091912E-02,-4.36E-03, 2.077342306E-02,-8.24E-04, 5.019319829E-04, 2.075091277E-02
 6.000000000E-02, 5.141738884E-02,-3.42E-03, 2.041681413E-02,-8.09E-04, 5.691320742E-04, 2.039272994E-02
 6.000000000E-02, 5.154338885E-02,-2.53E-03, 2.007453390E-02,-7.83E-04, 6.340931444E-04, 2.004913759E-02
 6.000000000E-02, 5.166892091E-02,-1.69E-03, 1.974636617E-02,-7.46E-04, 6.959363063E-04, 1.971989004E-02
 6.000000000E-02, 5.179398675E-02,-9.05E-04, 1.943177150E-02,-7.00E-04, 7.539038442E-04, 1.940441512E-02
 6.000000000E-02, 5.191858811E-02,-1.58E-04, 1.912988920E-02,-6.46E-04, 8.073480361E-04, 1.910181849E-02
 6.000000000E-02, 5.204272670E-02, 5.534539448E-04, 1.883955402E-02,-5.86E-04, 8.557231292E-04, 1.881090171E-02
 6.000000000E-02, 5.216640425E-02, 1.233159050E-03, 1.855927580E-02,-5.19E-04, 8.985802878E-04, 1.853014363E-02
 6.000000000E-02, 5.228962248E-02, 1.885833043E-03, 1.828725496E-02,-4.48E-04, 9.355601113E-04, 1.825771673E-02
 6.000000000E-02, 5.241238307E-02, 2.515352928E-03, 1.802139432E-02,-3.73E-04, 9.663840056E-04, 1.799149963E-02
 6.000000000E-02, 5.253468774E-02, 3.125089137E-03, 1.775930456E-02,-2.96E-04, 9.908509617E-04, 1.772908276E-02
 6.000000000E-02, 5.265653818E-02, 3.717810693E-03, 1.749832770E-02,-2.16E-04, 1.008831998E-03, 1.746779157E-02
 6.000000000E-02, 5.277793608E-02, 4.295663517E-03, 1.723556019E-02,-1.36E-04, 1.020265168E-03, 1.720470943E-02
 6.000000000E-02, 5.289888311E-02, 4.859775839E-03, 1.696785387E-02,-5.55E-05, 1.025153007E-03, 1.693667798E-02
 6.000000000E-02, 5.301938096E-02, 5.411469861E-03, 1.669185436E-02, 2.468089328E-05, 1.023557891E-03, 1.666033500E-02
 6.000000000E-02, 5.313943128E-02, 5.951899403E-03, 1.640405501E-02, 1.036563772E-04, 1.015597830E-03, 1.637216787E-02
 6.000000000E-02, 5.325903574E-02, 6.480047236E-03, 1.610080419E-02, 1.807848619E-04, 1.001447544E-03, 1.606852009E-02
 6.000000000E-02, 5.337819600E-02, 6.994766646E-03, 1.577839438E-02, 2.554305424E-04, 9.813333881E-04, 1.574568037E-02
 6.000000000E-02, 5.349691371E-02, 7.495286993E-03, 1.543311914E-02, 3.269888470E-04, 9.555300325E-04, 1.539993922E-02
 6.000000000E-02, 5.361519050E-02, 7.980046926E-03, 1.506134436E-02, 3.948857183E-04, 9.243600622E-04, 1.502765999E-02
 6.000000000E-02, 5.373302803E-02, 8.447185909E-03, 1.465963452E-02, 4.585671500E-04, 8.881906779E-04, 1.462540539E-02
 6.000000000E-02, 5.385042791E-02, 8.894671580E-03, 1.422484224E-02, 5.174985594E-04, 8.474319329E-04, 1.419002715E-02
 6.000000000E-02, 5.396739178E-02, 9.320391183E-03, 1.375422418E-02, 5.711613205E-04, 8.025343185E-04, 1.371878252E-02
 6.000000000E-02, 5.408392125E-02, 9.722283148E-03, 1.324556922E-02, 6.190475362E-04, 7.539881551E-04, 1.320946294E-02
 6.000000000E-02, 5.420001794E-02, 1.009842114E-02, 1.269729315E-02, 6.606572381E-04, 7.023207774E-04, 1.266048975E-02
 6.000000000E-02, 5.431568345E-02, 1.044716646E-02, 1.210856183E-02, 6.954915677E-04, 6.480949133E-04, 1.207103857E-02
 6.000000000E-02, 5.443091939E-02, 1.076720753E-02, 1.147936642E-02, 7.230486573E-04, 5.919087217E-04, 1.144111600E-02
 6.000000000E-02, 5.454572735E-02, 1.105770637E-02, 1.081055279E-02, 7.428207665E-04, 5.343901270E-04, 1.077159086E-02
 6.000000000E-02, 5.466010892E-02, 1.131843527E-02, 1.010383496E-02, 7.542867174E-04, 4.761974906E-04, 1.006420994E-02
 6.000000000E-02, 5.477406569E-02, 1.154973290E-02, 9.361758456E-03, 7.569011330E-04, 4.180178800E-04, 9.321564493E-03
 6.000000000E-02, 5.488759923E-02, 1.175264210E-02, 8.587622364E-03, 7.501519937E-04, 3.605661819E-04, 8.547010025E-03
 6.000000000E-02, 5.500071111E-02, 1.192885491E-02, 7.785335760E-03, 7.333863369E-04, 3.045876252E-04, 7.744541291E-03
 6.000000000E-02, 5.511340290E-02, 1.208065506E-02, 6.959272169E-03, 7.058960974E-04, 2.508532258E-04, 6.918644137E-03
 6.000000000E-02, 5.522567616E-02, 1.221095489E-02, 6.114039782E-03, 6.670210553E-04, 2.001544450E-04, 6.074061670E-03
 6.000000000E-02, 5.533753245E-02, 1.232340483E-02, 5.254303436E-03, 6.159857713E-04, 1.533118239E-04, 5.215636257E-03
 6.000000000E-02, 5.544897331E-02, 1.242184265E-02, 4.384531885E-03, 5.519386974E-04, 1.111798391E-04, 4.348060309E-03
 6.000000000E-02, 5.556000028E-02, 1.250990615E-02, 3.508739460E-03, 4.739312164E-04, 7.461964545E-05, 3.475628519E-03
 6.000000000E-02, 5.567061491E-02, 1.259248705E-02, 2.630314314E-03, 3.809181753E-04, 4.455207954E-05, 2.602073323E-03
 6.000000000E-02, 5.578081872E-02, 1.267157540E-02, 1.751804781E-03, 2.717447684E-04, 2.174796083E-05, 1.730363536E-03
 6.000000000E-02, 5.589061325E-02, 1.273547892E-02, 8.747671780E-04, 1.451639114E-04, 7.265221380E-06, 8.625500057E-04
 5.999999866E-02, 5.600000000E-02, 1.275290642E-02, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
