x,y,p,tv,av,rv,sv
 1.000000045E-03, 5.050000074E-02, 9.594063328E-04, 1.599511475E-02, 2.737202174E-04,-9.58E-05, 1.599238840E-02
 3.313725596E-03, 5.050000229E-02,-3.86E-03, 2.043641665E-02, 8.942415219E-04,-4.94E-05, 2.041638000E-02
 5.627451003E-03, 5.050000243E-02,-9.88E-03, 2.244880482E-02, 9.108525153E-04, 6.300337373E-05, 2.242988379E-02
 7.941175951E-03, 5.050000365E-02,-1.25E-02, 2.363914266E-02,-9.09E-05, 1.561870136E-04, 2.363836456E-02
 1.025490155E-02, 5.050000243E-02,-9.08E-03, 2.227359562E-02,-8.80E-04, 1.935081933E-05, 2.225590661E-02
 1.256862760E-02, 5.050000318E-02,-4.18E-03, 2.098839744E-02,-5.10E-04,-9.03E-05, 2.098184117E-02
 1.488235299E-02, 5.050000149E-02,-3.40E-03, 2.083010201E-02, 2.864208305E-04,-9.94E-05, 2.082780806E-02
 1.719607741E-02, 5.050000111E-02,-7.46E-03, 2.180024281E-02, 8.629312123E-04,-2.54E-05, 2.178283113E-02
 1.950980142E-02, 5.050000238E-02,-1.20E-02, 2.342092497E-02, 4.402686824E-04, 1.299051338E-04, 2.341630046E-02
 2.182352945E-02, 5.050000243E-02,-1.12E-02, 2.308208445E-02,-6.59E-04, 9.616186576E-05, 2.307226922E-02
 2.413725348E-02, 5.050000139E-02,-6.20E-03, 2.147125389E-02,-7.82E-04,-5.45E-05, 2.145667102E-02
 2.645098106E-02, 5.050000375E-02,-3.13E-03, 2.078285545E-02,-9.59E-05,-1.01E-04, 2.078232771E-02
 2.876470589E-02, 5.050000168E-02,-5.08E-03, 2.120307678E-02, 6.576602419E-04,-7.54E-05, 2.119251917E-02
 3.107843071E-02, 5.050000092E-02,-1.02E-02, 2.267604779E-02, 8.073135291E-04, 5.623905962E-05, 2.266134617E-02
 3.339215696E-02, 5.050000243E-02,-1.25E-02, 2.362603329E-02,-1.64E-04, 1.491521995E-04, 2.362488432E-02
 3.570588120E-02, 5.050000090E-02,-8.85E-03, 2.221261267E-02,-8.76E-04, 1.110623624E-05, 2.219501492E-02
 3.801960587E-02, 5.050000243E-02,-4.10E-03, 2.099504406E-02,-4.80E-04,-8.91E-05, 2.098921467E-02
 4.033333209E-02, 5.050000139E-02,-3.46E-03, 2.086141309E-02, 2.950821049E-04,-9.65E-05, 2.085901999E-02
 4.264706064E-02, 5.050000224E-02,-7.49E-03, 2.181035692E-02, 8.605393447E-04,-2.60E-05, 2.179304829E-02
 4.496078386E-02, 5.050000168E-02,-1.20E-02, 2.341531691E-02, 4.529204938E-04, 1.273899629E-04, 2.341044949E-02
 4.727451367E-02, 5.050000422E-02,-1.14E-02, 2.312507115E-02,-6.43E-04, 9.808042456E-05, 2.311572469E-02
 4.958823792E-02, 5.050000243E-02,-6.41E-03, 2.153461947E-02,-7.92E-04,-5.03E-05, 2.151972362E-02
 5.190196248E-02, 5.050000169E-02,-3.20E-03, 2.082343231E-02,-1.41E-04,-9.69E-05, 2.082268104E-02
 5.421568484E-02, 5.050000243E-02,-4.75E-03, 2.114680288E-02, 5.990604317E-04,-7.91E-05, 2.113797144E-02
 5.652941274E-02, 5.050000187E-02,-9.77E-03, 2.250401680E-02, 8.463881825E-04, 3.724283388E-05, 2.248778574E-02
 5.884313569E-02, 5.050000262E-02,-1.26E-02, 2.366881218E-02,-2.19E-05, 1.507840437E-04, 2.366822338E-02
 6.115686080E-02, 5.050000243E-02,-9.60E-03, 2.245043970E-02,-8.52E-04, 3.084277652E-05, 2.243395886E-02
 6.347058478E-02, 5.050000177E-02,-4.67E-03, 2.114213919E-02,-5.77E-04,-7.93E-05, 2.113394039E-02
 6.578431353E-02, 5.050000243E-02,-3.23E-03, 2.084911434E-02, 1.482750604E-04,-9.40E-05, 2.084831671E-02
 6.809803980E-02, 5.050000196E-02,-6.40E-03, 2.153750255E-02, 7.868682173E-04,-5.10E-05, 2.152278572E-02
 7.041176426E-02, 5.050000243E-02,-1.14E-02, 2.310056389E-02, 6.621913543E-04, 9.338909626E-05, 2.309068419E-02
 7.272548543E-02, 5.050000064E-02,-1.22E-02, 2.347031524E-02,-4.16E-04, 1.291003210E-04, 2.346614183E-02
 7.503921285E-02, 5.050000186E-02,-7.85E-03, 2.192263483E-02,-8.61E-04,-1.96E-05, 2.190540187E-02
 7.735294264E-02, 5.050000224E-02,-3.73E-03, 2.096459558E-02,-3.55E-04,-8.78E-05, 2.096130782E-02
 7.966666987E-02, 5.050000393E-02,-3.76E-03, 2.097145409E-02, 3.664720828E-04,-8.75E-05, 2.096797171E-02
 8.198039040E-02, 5.050000243E-02,-7.93E-03, 2.194212832E-02, 8.647325676E-04,-1.80E-05, 2.192476628E-02
 8.429412260E-02, 5.050000321E-02,-1.23E-02, 2.348405066E-02, 4.094059459E-04, 1.295129229E-04, 2.348001113E-02
 8.660784533E-02, 5.050000243E-02,-1.14E-02, 2.310814375E-02,-6.61E-04, 9.159399322E-05, 2.309831448E-02
 8.892157072E-02, 5.050000337E-02,-6.50E-03, 2.157944400E-02,-7.82E-04,-4.95E-05, 2.156495058E-02
 9.123529251E-02, 5.050000130E-02,-3.33E-03, 2.090600968E-02,-1.73E-04,-8.84E-05, 2.090505151E-02
 9.354902120E-02, 5.050000092E-02,-4.46E-03, 2.112616458E-02, 5.210310615E-04,-7.95E-05, 2.111943031E-02
 9.586275160E-02, 5.050000088E-02,-9.16E-03, 2.230195696E-02, 8.678357836E-04, 1.347383091E-05, 2.228476535E-02
 9.817647147E-02, 5.050000243E-02,-1.27E-02, 2.365611598E-02, 1.634293020E-04, 1.453935322E-04, 2.365499852E-02
 1.004901960E-01, 5.050000281E-02,-1.05E-02, 2.276281404E-02,-7.90E-04, 5.682979014E-05, 2.274879135E-02
 1.028039212E-01, 5.050000224E-02,-5.54E-03, 2.136211063E-02,-6.83E-04,-6.53E-05, 2.135086577E-02
