x,y,sv
 5.999999866E-02, 5.000000000E-02, 2.500000000E-02
 6.000000000E-02, 5.013126410E-02, 2.453752302E-02
 6.000000000E-02, 5.026204070E-02, 2.407986810E-02
 6.000000000E-02, 5.039233160E-02, 2.362820669E-02
 6.000000000E-02, 5.052213861E-02, 2.318406712E-02
 6.000000000E-02, 5.065146353E-02, 2.274892033E-02
 6.000000000E-02, 5.078030814E-02, 2.232414692E-02
 6.000000000E-02, 5.090867423E-02, 2.191099471E-02
 6.000000000E-02, 5.103656358E-02, 2.151053734E-02
 6.000000000E-02, 5.116397796E-02, 2.112363418E-02
 6.000000000E-02, 5.129091912E-02, 2.075091277E-02
 6.000000000E-02, 5.141738884E-02, 2.039272994E-02
 6.000000000E-02, 5.154338885E-02, 2.004913759E-02
 6.000000000E-02, 5.166892091E-02, 1.971989004E-02
 6.000000000E-02, 5.179398675E-02, 1.940441512E-02
 6.000000000E-02, 5.191858811E-02, 1.910181849E-02
 6.000000000E-02, 5.204272670E-02, 1.881090171E-02
 6.000000000E-02, 5.216640425E-02, 1.853014363E-02
 6.000000000E-02, 5.228962248E-02, 1.825771673E-02
 6.000000000E-02, 5.241238307E-02, 1.799149963E-02
 6.000000000E-02, 5.253468774E-02, 1.772908276E-02
 6.000000000E-02, 5.265653818E-02, 1.746779157E-02
 6.000000000E-02, 5.277793608E-02, 1.720470943E-02
 6.000000000E-02, 5.289888311E-02, 1.693667798E-02
 6.000000000E-02, 5.301938096E-02, 1.666033500E-02
 6.000000000E-02, 5.313943128E-02, 1.637216787E-02
 6.000000000E-02, 5.325903574E-02, 1.606852009E-02
 6.000000000E-02, 5.337819600E-02, 1.574568037E-02
 6.000000000E-02, 5.349691371E-02, 1.539993922E-02
 6.000000000E-02, 5.361519050E-02, 1.502765999E-02
 6.000000000E-02, 5.373302803E-02, 1.462540539E-02
 6.000000000E-02, 5.385042791E-02, 1.419002715E-02
 6.000000000E-02, 5.396739178E-02, 1.371878252E-02
 6.000000000E-02, 5.408392125E-02, 1.320946294E-02
 6.000000000E-02, 5.420001794E-02, 1.266048975E-02
 6.000000000E-02, 5.431568345E-02, 1.207103857E-02
 6.000000000E-02, 5.443091939E-02, 1.144111600E-02
 6.000000000E-02, 5.454572735E-02, 1.077159086E-02
 6.000000000E-02, 5.466010892E-02, 1.006420994E-02
 6.000000000E-02, 5.477406569E-02, 9.321564493E-03
 6.000000000E-02, 5.488759923E-02, 8.547010025E-03
 6.000000000E-02, 5.500071111E-02, 7.744541291E-03
 6.000000000E-02, 5.511340290E-02, 6.918644137E-03
 6.000000000E-02, 5.522567616E-02, 6.074061670E-03
 6.000000000E-02, 5.533753245E-02, 5.215636257E-03
 6.000000000E-02, 5.544897331E-02, 4.348060309E-03
 6.000000000E-02, 5.556000028E-02, 3.475628519E-03
 6.000000000E-02, 5.567061491E-02, 2.602073323E-03
 6.000000000E-02, 5.578081872E-02, 1.730363536E-03
 6.000000000E-02, 5.589061325E-02, 8.625500057E-04
 5.999999866E-02, 5.600000000E-02, 0.000000000E+00
