x,y,sv
 1.627499983E-02, 5.013126507E-02, 2.450491115E-02
 1.642500050E-02, 5.013126507E-02, 2.451446652E-02
 1.657500118E-02, 5.013126507E-02, 2.452465892E-02
 1.672499999E-02, 5.013126507E-02, 2.453548275E-02
 1.687500067E-02, 5.013126507E-02, 2.454692312E-02
 1.702499948E-02, 5.013126507E-02, 2.455895953E-02
 1.717500016E-02, 5.013126507E-02, 2.457156405E-02
 1.732500084E-02, 5.013126507E-02, 2.458470501E-02
 1.747499965E-02, 5.013126507E-02, 2.459834330E-02
 1.762500033E-02, 5.013126507E-02, 2.461242862E-02
 1.777500100E-02, 5.013126507E-02, 2.462690137E-02
 1.792499982E-02, 5.013126507E-02, 2.464169264E-02
 1.807500049E-02, 5.013126507E-02, 2.465672418E-02
 1.822500117E-02, 5.013126507E-02, 2.467190102E-02
 1.837499999E-02, 5.013126507E-02, 2.468711324E-02
 1.852500066E-02, 5.013126507E-02, 2.470224164E-02
 1.867499948E-02, 5.013126507E-02, 2.471714839E-02
 1.882500015E-02, 5.013126507E-02, 2.473168448E-02
 1.897500083E-02, 5.013126507E-02, 2.474569157E-02
 1.912499964E-02, 5.013126507E-02, 2.475899272E-02
 1.927500032E-02, 5.013126507E-02, 2.477140725E-02
 1.942500100E-02, 5.013126507E-02, 2.478275821E-02
 1.957499981E-02, 5.013126507E-02, 2.479286678E-02
 1.972500049E-02, 5.013126507E-02, 2.480155975E-02
 1.987500116E-02, 5.013126507E-02, 2.480868436E-02
 2.002499998E-02, 5.013126507E-02, 2.481411025E-02
 2.017500065E-02, 5.013126507E-02, 2.481773123E-02
 2.032499947E-02, 5.013126507E-02, 2.481947653E-02
 2.047500014E-02, 5.013126507E-02, 2.481931262E-02
 2.062500082E-02, 5.013126507E-02, 2.481724322E-02
 2.077499963E-02, 5.013126507E-02, 2.481330931E-02
 2.092500031E-02, 5.013126507E-02, 2.480758727E-02
 2.107500099E-02, 5.013126507E-02, 2.480019256E-02
 2.122499980E-02, 5.013126507E-02, 2.479125932E-02
 2.137500048E-02, 5.013126507E-02, 2.478094399E-02
 2.152500115E-02, 5.013126507E-02, 2.476942167E-02
 2.167499997E-02, 5.013126507E-02, 2.475686930E-02
 2.182500064E-02, 5.013126507E-02, 2.474347129E-02
 2.197499946E-02, 5.013126507E-02, 2.472940087E-02
 2.212500013E-02, 5.013126507E-02, 2.471483685E-02
 2.227500081E-02, 5.013126507E-02, 2.469993010E-02
 2.242499962E-02, 5.013126507E-02, 2.468483523E-02
 2.257500030E-02, 5.013126507E-02, 2.466968261E-02
 2.272500098E-02, 5.013126507E-02, 2.465458773E-02
 2.287499979E-02, 5.013126507E-02, 2.463966049E-02
 2.302500047E-02, 5.013126507E-02, 2.462498844E-02
 2.317500114E-02, 5.013126507E-02, 2.461065352E-02
 2.332499996E-02, 5.013126507E-02, 2.459672093E-02
 2.347500063E-02, 5.013126507E-02, 2.458324656E-02
 2.362499945E-02, 5.013126507E-02, 2.457027696E-02
 2.377500013E-02, 5.013126507E-02, 2.455785312E-02
 2.392500080E-02, 5.013126507E-02, 2.454600483E-02
 2.407499962E-02, 5.013126507E-02, 2.453475632E-02
 2.422500029E-02, 5.013126507E-02, 2.452412434E-02
 2.437500097E-02, 5.013126507E-02, 2.451412566E-02
 2.452499978E-02, 5.013126507E-02, 2.450476773E-02
 2.467500046E-02, 5.013126507E-02, 2.449605614E-02
 2.482500114E-02, 5.013126507E-02, 2.448799089E-02
 2.497499995E-02, 5.013126507E-02, 2.448057570E-02
 2.512500063E-02, 5.013126507E-02, 2.447380312E-02
 2.527499944E-02, 5.013126507E-02, 2.446766943E-02
 2.542500012E-02, 5.013126507E-02, 2.446216904E-02
